0 11 28 50 9 12 44 44 9 38 42 26 3 36 4 19 46 11 28 21 
13 29 36 29 49 29 25 26 35 18 48 13 36 0 50 42 31 15 13 25 
9 33 30 5 22 6 31 17 22 45 6 42 15 0 6 42 42 46 16 34 
41 5 20 3 3 1 17 23 40 14 40 49 11 17 37 15 4 29 21 49 
10 45 12 40 39 22 26 10 50 44 29 48 16 37 28 11 49 29 23 8 
39 31 17 21 31 13 10 38 37 2 22 1 38 32 20 38 24 45 6 37 
38 19 23 16 10 28 0 25 8 13 24 8 35 47 1 35 41 34 37 4 
7 0 19 42 31 42 0 35 23 17 20 42 16 27 49 9 24 14 29 33 
38 8 42 17 44 39 24 30 19 33 41 18 8 6 39 14 8 39 37 7 
28 4 37 45 46 23 12 38 48 48 37 38 10 9 15 17 0 6 42 37 
49 33 13 35 36 5 28 50 42 36 27 38 7 37 30 49 36 12 17 34 
1 37 48 21 18 23 2 47 14 44 46 47 32 49 35 46 5 11 14 15 
28 2 1 16 33 21 26 42 4 1 16 30 4 20 27 6 31 3 46 2 
34 8 4 1 29 11 35 34 20 34 37 8 7 40 4 22 19 3 18 50 
5 11 14 37 41 12 7 0 13 25 2 48 1 13 43 14 7 8 27 31 
42 42 29 4 8 3 35 44 12 19 36 9 4 11 44 13 19 37 29 39 
4 18 3 48 21 50 31 39 13 43 9 7 7 20 23 23 44 34 4 17 
32 43 9 12 20 1 47 0 44 22 41 14 42 16 45 47 29 24 28 24 
35 19 14 37 16 45 5 6 18 16 37 29 25 42 32 9 46 11 24 28 
17 44 47 3 23 49 24 30 36 44 23 38 32 25 14 7 43 26 39 30 
48 1 17 44 8 2 47 28 47 30 9 34 46 35 36 45 6 37 16 10 
29 18 33 22 9 48 49 7 34 1 43 13 30 15 47 46 30 23 43 13 
49 5 10 31 50 34 2 23 37 3 43 29 41 10 25 46 19 4 7 17 
29 2 21 20 13 10 26 17 18 31 38 9 4 36 32 22 37 7 46 48 
27 33 15 5 4 41 29 39 8 7 29 7 50 45 15 12 38 8 11 22 
50 9 37 20 29 17 5 17 15 16 35 35 29 23 10 19 37 29 12 18 
7 33 6 5 18 22 40 49 3 27 32 38 21 10 31 11 35 21 35 24 
29 13 48 46 16 0 28 45 21 49 38 3 0 10 23 42 7 13 31 37 
43 8 36 26 43 33 1 42 44 0 38 7 30 11 14 43 38 1 21 45 
43 2 3 2 3 7 3 45 38 34 7 14 15 26 10 27 42 20 23 42 
6 18 16 36 6 39 0 47 14 35 21 15 23 2 7 4 2 9 10 18 
7 35 27 24 28 25 19 46 43 32 22 6 44 12 24 29 28 2 30 4 
31 19 29 10 29 41 37 10 21 7 46 34 40 26 3 20 24 40 0 41 
27 4 36 3 47 27 19 17 17 40 30 6 18 44 20 25 4 0 41 50 
7 34 14 23 27 32 35 23 40 49 10 36 37 23 31 36 24 26 10 4 
17 25 13 0 9 33 18 40 46 8 24 41 19 44 33 36 31 17 4 6 
28 43 23 6 19 18 12 33 2 25 17 15 36 27 5 44 2 48 44 39 
3 38 40 43 21 1 2 11 20 49 34 20 5 40 16 9 39 27 9 10 
6 4 43 35 49 10 5 11 1 39 50 34 46 30 38 30 13 23 19 28 
31 12 18 48 36 6 40 23 14 25 1 35 19 35 2 24 42 30 45 49 
19 20 8 2 47 39 45 13 50 4 32 8 34 22 34 9 19 29 44 46 
29 7 25 40 46 22 17 40 35 44 22 6 14 45 5 39 34 26 29 16 
44 35 16 26 3 26 32 45 12 7 36 12 50 12 2 19 22 16 30 50 
30 15 50 15 47 14 27 34 40 11 42 11 18 39 2 20 9 17 45 41 
29 15 10 46 50 18 33 39 14 30 37 47 50 6 2 16 23 48 30 32 
13 28 26 45 12 30 34 3 30 18 26 3 16 40 6 37 2 23 23 10 
46 47 24 9 46 41 27 29 50 10 46 19 31 45 13 8 29 35 43 0 
26 43 27 35 13 21 15 31 27 13 11 16 24 6 38 7 49 15 11 21 
31 24 2 48 21 46 16 6 14 12 13 6 13 43 39 17 10 31 44 31 
38 33 22 27 7 3 17 12 40 28 42 36 20 33 12 3 12 34 47 29 
35 30 40 23 30 16 42 17 3 25 11 18 14 33 21 44 12 45 42 45 
15 6 6 18 36 31 34 46 45 13 38 50 14 44 39 15 0 47 5 50 
45 38 46 13 39 16 17 12 12 30 31 24 27 25 36 40 35 17 9 11 
33 5 32 34 33 16 45 35 24 40 11 19 13 45 25 40 8 2 10 18 
33 18 7 36 10 47 50 45 39 39 4 32 40 12 15 11 43 16 31 35 
0 32 30 7 9 7 36 28 1 23 43 25 25 33 8 4 2 8 6 27 
25 2 36 11 50 11 10 1 29 31 50 37 0 13 31 4 31 15 41 15 
1 17 19 0 12 6 15 5 39 36 1 20 6 45 6 35 28 0 29 18 
32 48 27 38 5 23 27 10 23 12 34 24 10 43 9 33 28 13 45 29 
11 35 26 44 29 50 42 32 40 44 18 9 29 25 14 23 14 15 21 2 
37 20 23 11 19 38 45 37 0 14 17 39 1 23 20 30 7 22 28 4 
37 14 15 21 19 23 0 32 28 2 48 39 33 43 12 43 15 33 12 16 
8 19 11 18 45 30 13 4 17 33 15 0 28 48 42 41 3 21 44 46 
37 21 5 44 36 40 48 31 36 7 33 18 22 32 9 3 44 6 2 27 
25 5 50 3 12 41 4 6 16 39 49 3 17 4 10 40 40 41 27 8 
3 13 18 23 18 15 50 18 30 50 3 30 45 34 27 32 1 3 33 49 
37 20 38 32 19 36 35 23 26 30 42 46 28 2 19 40 45 12 41 3 
2 34 24 34 40 35 2 21 42 47 9 4 5 24 33 19 20 12 20 36 
37 48 35 22 1 45 37 35 37 24 0 33 2 29 42 7 22 0 25 34 
8 33 29 41 1 49 5 23 48 48 40 50 34 5 1 10 46 18 21 11 
35 25 23 32 3 3 46 21 23 29 8 35 3 13 4 47 11 19 5 38 
41 23 36 25 30 28 43 46 5 28 10 28 1 24 6 43 19 19 0 10 
39 22 39 16 9 17 17 45 44 0 9 28 15 34 4 20 23 2 34 9 
10 50 40 3 32 49 50 39 1 23 6 28 3 30 27 38 35 43 19 34 
29 35 42 17 34 26 24 38 11 17 38 37 22 41 8 23 34 18 3 19 
28 47 28 12 0 43 15 50 23 37 36 48 24 27 50 45 8 9 38 45 
19 28 41 4 47 9 5 36 42 11 1 13 34 31 17 50 23 47 15 5 
42 19 49 25 42 17 19 0 17 6 39 45 34 34 2 21 46 27 43 18 
7 4 21 43 9 23 24 50 36 15 47 6 24 47 23 10 37 43 6 9 
49 10 15 45 0 43 31 35 50 5 40 12 6 4 2 19 14 50 1 15 
14 47 0 1 15 1 45 42 21 21 4 48 26 16 35 6 31 11 42 30 
6 15 47 29 27 18 42 8 17 50 18 36 28 21 33 38 12 49 22 43 
34 1 30 50 2 43 24 36 32 26 23 0 45 27 6 49 9 29 6 17 
33 16 35 2 21 39 23 2 21 35 2 7 43 26 41 14 22 41 45 23 
5 34 24 5 20 5 28 43 46 39 43 25 42 19 40 5 21 50 0 49 
17 9 46 48 5 15 28 15 42 17 0 25 39 28 31 12 26 25 15 34 
0 29 16 25 28 49 44 9 17 41 32 49 2 20 48 1 14 33 15 47 
41 23 44 45 17 1 4 50 15 41 8 33 27 9 40 25 46 33 11 12 
46 29 3 34 32 27 5 35 19 30 9 35 35 34 31 28 3 20 1 10 
